,URL,category,total_item
0,https://www.rakuten.co.jp/category/100987/,,
1,https://www.rakuten.co.jp/category/101035/,リラックス・マッサージ用品,"47,523"
2,https://www.rakuten.co.jp/category/101058/,福祉・介護,"807,490"
3,https://www.rakuten.co.jp/category/101070/,スポーツ・アウトドア,"8,258,056"
4,https://www.rakuten.co.jp/category/101077/,ゴルフ,"888,911"
5,https://www.rakuten.co.jp/category/101100/,,
6,https://www.rakuten.co.jp/category/101114/,車・バイク,"308,342"
7,https://www.rakuten.co.jp/category/101126/,車用品,"24,124,769"
8,https://www.rakuten.co.jp/category/101157/,自転車・サイクリング,"674,999"
9,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
10,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
11,https://www.rakuten.co.jp/category/101164/,ホビー,"4,824,512"
12,https://www.rakuten.co.jp/category/101168/,喫煙具,"513,150"
13,https://www.rakuten.co.jp/category/101213/,ペット・ペットグッズ,"1,696,564"
14,https://www.rakuten.co.jp/category/101240/,CD・DVD,"6,897,890"
15,https://www.rakuten.co.jp/category/101240/,CD・DVD,"6,897,890"
16,https://www.rakuten.co.jp/category/101311/,CD,"4,686,201"
17,https://www.rakuten.co.jp/category/101354/,DVD,"1,714,572"
18,https://www.rakuten.co.jp/category/101438/,サービス・リフォーム,"350,808"
19,https://www.rakuten.co.jp/category/101439/,金融・保険,271
20,https://www.rakuten.co.jp/category/101445/,通信講座・通学講座・教材,"3,133"
21,https://www.rakuten.co.jp/category/101975/,アウトドア,"942,432"
22,https://www.rakuten.co.jp/category/110080/,,
23,https://www.rakuten.co.jp/category/110105/,ディスプレイ,"31,987"
24,https://www.rakuten.co.jp/category/110472/,米・雑穀,"58,778"
25,https://www.rakuten.co.jp/category/110662/,焼酎,"97,062"
26,https://www.rakuten.co.jp/category/110692/,野菜・果実飲料,"53,108"
27,https://www.rakuten.co.jp/category/110729/,,
28,https://www.rakuten.co.jp/category/110765/,トップス,"1,510,240"
29,https://www.rakuten.co.jp/category/110811/,和服,"71,132"
30,https://www.rakuten.co.jp/category/110983/,メンズ靴,"975,500"
31,https://www.rakuten.co.jp/category/111078/,キッズ,"1,386,462"
32,https://www.rakuten.co.jp/category/111102/,ベビー,"459,658"
33,https://www.rakuten.co.jp/category/111116/,マタニティ・ママ,"48,956"
34,https://www.rakuten.co.jp/category/111120/,香水・フレグランス,"161,418"
35,https://www.rakuten.co.jp/category/111173/,印鑑・ハンコ,"613,576"
36,https://www.rakuten.co.jp/category/111346/,テーブル,"232,403"
37,https://www.rakuten.co.jp/category/111355/,カーペット・マット・畳,"814,808"
38,https://www.rakuten.co.jp/category/111363/,イス・チェア,"325,855"
39,https://www.rakuten.co.jp/category/111427/,住宅・不動産,"1,597"
40,https://www.rakuten.co.jp/category/111469/,トイレ用品,"148,871"
41,https://www.rakuten.co.jp/category/111475/,バス用品,"404,049"
42,https://www.rakuten.co.jp/category/111519/,防災関連グッズ,"229,210"
43,https://www.rakuten.co.jp/category/111787/,メイク道具・ケアグッズ,"156,276"
44,https://www.rakuten.co.jp/category/111961/,フィッシング,"1,263,066"
45,https://www.rakuten.co.jp/category/112132/,占い・開運・風水・パワーストーン,"250,576"
46,https://www.rakuten.co.jp/category/113084/,花・観葉植物,"296,334"
47,https://www.rakuten.co.jp/category/200052/,冠婚葬祭サービス,"2,127"
48,https://www.rakuten.co.jp/category/200067/,ウインタースポーツ,"193,336"
49,https://www.rakuten.co.jp/category/200119/,クッション・座布団,"129,745"
50,https://www.rakuten.co.jp/category/200162/,本・雑誌・コミック,"20,063,910"
51,https://www.rakuten.co.jp/category/200162/,本・雑誌・コミック,"20,063,910"
52,https://www.rakuten.co.jp/category/200166/,収納家具,"1,188,823"
53,https://www.rakuten.co.jp/category/200167/,デスク,"46,350"
54,https://www.rakuten.co.jp/category/200168/,,
55,https://www.rakuten.co.jp/category/200169/,サッカー・フットサル,"337,954"
56,https://www.rakuten.co.jp/category/200170/,フィットネス・トレーニング,"209,351"
57,https://www.rakuten.co.jp/category/200225/,光ディスクレコーダー・プレーヤー,"15,177"
58,https://www.rakuten.co.jp/category/200284/,カーナビ・カーエレクトロニクス,"340,406"
59,https://www.rakuten.co.jp/category/200305/,バイク用品,"8,928,803"
60,https://www.rakuten.co.jp/category/200307/,バイクウェア・プロテクター,"310,235"
61,https://www.rakuten.co.jp/category/200990/,野菜・きのこ,"27,949"
62,https://www.rakuten.co.jp/category/201136/,チョコレート,"26,095"
63,https://www.rakuten.co.jp/category/201153/,クッキー・焼き菓子,"51,809"
64,https://www.rakuten.co.jp/category/201351/,水・ミネラルウォーター,"19,848"
65,https://www.rakuten.co.jp/category/201454/,ネイル,"221,347"
66,https://www.rakuten.co.jp/category/201591/,ベビー向けおもちゃ,"102,854"
67,https://www.rakuten.co.jp/category/201603/,知育玩具・学習玩具,"113,044"
68,https://www.rakuten.co.jp/category/201632/,ぬいぐるみ,"116,594"
69,https://www.rakuten.co.jp/category/201652/,日本人形・フランス人形,"15,613"
70,https://www.rakuten.co.jp/category/201775/,バッグ・ケース,"38,973"
71,https://www.rakuten.co.jp/category/201890/,登山・トレッキング,"87,693"
72,https://www.rakuten.co.jp/category/201937/,水泳,"141,927"
73,https://www.rakuten.co.jp/category/201959/,バスケットボール,"109,256"
74,https://www.rakuten.co.jp/category/202559/,業務用品・店舗用品,"275,406"
75,https://www.rakuten.co.jp/category/203018/,ピアノ・キーボード,"32,219"
76,https://www.rakuten.co.jp/category/203019/,和楽器,"9,531"
77,https://www.rakuten.co.jp/category/203024/,子供部屋用インテリア・寝具・収納,"103,553"
78,https://www.rakuten.co.jp/category/203107/,熱帯魚・アクアリウム,"146,493"
79,https://www.rakuten.co.jp/category/204200/,生活家電,"219,730"
80,https://www.rakuten.co.jp/category/204210/,管楽器・吹奏楽器,"70,714"
81,https://www.rakuten.co.jp/category/204228/,DJ機器,"6,222"
82,https://www.rakuten.co.jp/category/204233/,ベースメイク・メイクアップ,"394,843"
83,https://www.rakuten.co.jp/category/204745/,デンタルケア,"171,804"
84,https://www.rakuten.co.jp/category/205515/,ソファ・ソファベッド,"203,813"
85,https://www.rakuten.co.jp/category/205677/,カーテン・ブラインド,"1,933,527"
86,https://www.rakuten.co.jp/category/205789/,コンタクトレンズ・ケア用品,"75,796"
87,https://www.rakuten.co.jp/category/206023/,アクセサリー,"65,447"
88,https://www.rakuten.co.jp/category/206024/,DAW・DTM・レコーダー,"28,202"
89,https://www.rakuten.co.jp/category/207622/,ラジコン・ドローン,"128,729"
90,https://www.rakuten.co.jp/category/210102/,ダイニングセット,"91,186"
91,https://www.rakuten.co.jp/category/210143/,鏡,"91,193"
92,https://www.rakuten.co.jp/category/210238/,業務用厨房機器・用品,"821,897"
93,https://www.rakuten.co.jp/category/211233/,ドラム,"64,688"
94,https://www.rakuten.co.jp/category/211307/,パーカッション・打楽器,"34,517"
95,https://www.rakuten.co.jp/category/211742/,TV・オーディオ・カメラ,"1,465,484"
96,https://www.rakuten.co.jp/category/211742/,TV・オーディオ・カメラ,"1,465,484"
97,https://www.rakuten.co.jp/category/213517/,鉄道模型,"78,618"
98,https://www.rakuten.co.jp/category/213684/,,
99,https://www.rakuten.co.jp/category/213731/,パーティー・イベント用品,"620,255"
100,https://www.rakuten.co.jp/category/213749/,コスプレ・変装・仮装,"316,461"
101,https://www.rakuten.co.jp/category/214673/,体操・ダンス,"70,203"
102,https://www.rakuten.co.jp/category/215298/,ペット用お手入れ用品,"120,254"
103,https://www.rakuten.co.jp/category/215566/,寝具,"692,525"
104,https://www.rakuten.co.jp/category/215767/,ゴミ箱,"143,009"
105,https://www.rakuten.co.jp/category/215783/,日用品雑貨・文房具・手芸,"12,755,108"
106,https://www.rakuten.co.jp/category/216129/,ジュエリー・アクセサリー,"2,578,369"
107,https://www.rakuten.co.jp/category/216131/,バッグ・小物・ブランド雑貨,"4,045,353"
108,https://www.rakuten.co.jp/category/216172/,靴ケア用品・アクセサリ,"78,253"
109,https://www.rakuten.co.jp/category/216492/,日焼け止め・UVケア,"25,807"
110,https://www.rakuten.co.jp/category/301981/,メンズ腕時計,"451,134"
111,https://www.rakuten.co.jp/category/302050/,レディース腕時計,"281,519"
112,https://www.rakuten.co.jp/category/302133/,男女兼用腕時計,"157,792"
113,https://www.rakuten.co.jp/category/302799/,,
114,https://www.rakuten.co.jp/category/400817/,なりきりアイテム・変身ベルト,"15,082"
115,https://www.rakuten.co.jp/category/407326/,メンズジュエリー・アクセサリー,"363,126"
116,https://www.rakuten.co.jp/category/409365/,水着,"110,111"
117,https://www.rakuten.co.jp/category/502823/,季節・空調家電,"430,015"
118,https://www.rakuten.co.jp/category/503190/,車用品・バイク用品,"33,719,650"
119,https://www.rakuten.co.jp/category/505034/,Blu-ray,"342,831"
120,https://www.rakuten.co.jp/category/506536/,炭酸飲料,"32,589"
121,https://www.rakuten.co.jp/category/507513/,犬用品,"750,935"
122,https://www.rakuten.co.jp/category/507524/,猫用品,"303,120"
123,https://www.rakuten.co.jp/category/508183/,マットレス,"82,010"
124,https://www.rakuten.co.jp/category/508445/,出産祝い・ギフト,"182,950"
125,https://www.rakuten.co.jp/category/508586/,男女兼用アクセサリー,"256,759"
126,https://www.rakuten.co.jp/category/509057/,ジョギング・マラソン,"142,915"
127,https://www.rakuten.co.jp/category/509708/,和菓子,"53,311"
128,https://www.rakuten.co.jp/category/510901/,日本酒・焼酎,"200,833"
129,https://www.rakuten.co.jp/category/510915/,ビール・洋酒,"399,384"
130,https://www.rakuten.co.jp/category/550693/,家電関連サービス,"23,962"
131,https://www.rakuten.co.jp/category/551167/,スイーツ・お菓子,"364,329"
132,https://www.rakuten.co.jp/category/551169/,医薬品・コンタクト・介護,"2,001,201"
133,https://www.rakuten.co.jp/category/551177/,メンズファッション,"3,439,031"
134,https://www.rakuten.co.jp/category/551942/,スポーツウェア・アクセサリー,"635,550"
135,https://www.rakuten.co.jp/category/553029/,チュニック,"61,066"
136,https://www.rakuten.co.jp/category/553158/,電話機・FAX,"30,111"
137,https://www.rakuten.co.jp/category/553203/,アクセサリー・部品,"815,353"
138,https://www.rakuten.co.jp/category/553288/,車・バイク関連サービス,"1,358"
139,https://www.rakuten.co.jp/category/553848/,Nintendo 3DS・2DS,"24,442"
140,https://www.rakuten.co.jp/category/555084/,ドレス,"235,314"
141,https://www.rakuten.co.jp/category/555086/,トップス,"1,596,069"
142,https://www.rakuten.co.jp/category/555087/,コート・ジャケット,"546,984"
143,https://www.rakuten.co.jp/category/555089/,ボトムス,"907,482"
144,https://www.rakuten.co.jp/category/555091/,スーツ・セットアップ,"82,305"
145,https://www.rakuten.co.jp/category/558846/,ズボン・パンツ,"462,214"
146,https://www.rakuten.co.jp/category/558873/,コート・ジャケット,"542,258"
147,https://www.rakuten.co.jp/category/558885/,靴,"2,621,810"
148,https://www.rakuten.co.jp/category/558929/,腕時計,"1,041,152"
149,https://www.rakuten.co.jp/category/558944/,キッチン用品・食器・調理器具,"9,019,067"
150,https://www.rakuten.co.jp/category/558945/,鍋・フライパン,"795,938"
151,https://www.rakuten.co.jp/category/559248/,調理・製菓道具,"1,846,797"
152,https://www.rakuten.co.jp/category/559936/,スポーツドリンク,"7,707"
153,https://www.rakuten.co.jp/category/560029/,タブレットPC本体,"22,702"
154,https://www.rakuten.co.jp/category/560050/,タブレットPCアクセサリー,"382,354"
155,https://www.rakuten.co.jp/category/560062/,外付けドライブ・ストレージ,"95,402"
156,https://www.rakuten.co.jp/category/560100/,マフラー・スカーフ,"156,302"
157,https://www.rakuten.co.jp/category/560202/,スマートフォン本体,"87,156"
158,https://www.rakuten.co.jp/category/560276/,スマートフォン・携帯電話用アクセサリー,"29,364,818"
159,https://www.rakuten.co.jp/category/562637/,家電,"2,067,562"
160,https://www.rakuten.co.jp/category/562640/,住宅設備家電,"410,934"
161,https://www.rakuten.co.jp/category/563339/,赤ワイン,"131,782"
162,https://www.rakuten.co.jp/category/563340/,白ワイン,"72,108"
163,https://www.rakuten.co.jp/category/563342/,発泡系・シャンパン,"34,568"
164,https://www.rakuten.co.jp/category/563543/,WiiU,"4,219"
165,https://www.rakuten.co.jp/category/563544/,プレイステーション4,"24,708"
166,https://www.rakuten.co.jp/category/563727/,サプリメント,"287,957"
167,https://www.rakuten.co.jp/category/563818/,健康グッズ,"167,344"
168,https://www.rakuten.co.jp/category/563843/,テレビ,"9,478"
169,https://www.rakuten.co.jp/category/564500/,スマートフォン・タブレット,"30,009,895"
170,https://www.rakuten.co.jp/category/564648/,ケーキ,"16,526"
171,https://www.rakuten.co.jp/category/564649/,せんべい・米菓,"31,264"
172,https://www.rakuten.co.jp/category/565162/,パソコン,"70,778"
173,https://www.rakuten.co.jp/category/565163/,PCサプライ・消耗品,"1,249,171"
174,https://www.rakuten.co.jp/category/565210/,バッグ,"1,657,219"
175,https://www.rakuten.co.jp/category/565211/,,
176,https://www.rakuten.co.jp/category/565546/,代行サービス,942
177,https://www.rakuten.co.jp/category/565547/,リフォーム,"20,538"
178,https://www.rakuten.co.jp/category/565598/,お茶・紅茶,"133,572"
179,https://www.rakuten.co.jp/category/565749/,ウェア,"135,340"
180,https://www.rakuten.co.jp/category/565751/,,
181,https://www.rakuten.co.jp/category/565950/,Nintendo Switch,"29,093"
182,https://www.rakuten.co.jp/category/566222/,レディース,"477,071"
183,https://www.rakuten.co.jp/category/566223/,メンズ,"292,146"
184,https://www.rakuten.co.jp/category/566224/,,
185,https://www.rakuten.co.jp/category/566241/,ジュエリー・アクセサリーの修理・リフォーム,13
186,https://www.rakuten.co.jp/category/566498/,パーツ,"12,127,726"
187,https://www.rakuten.co.jp/category/566501/,パーツ,"5,937,422"
188,https://www.rakuten.co.jp/category/566954/,ギター・ベース,"341,686"
189,https://www.rakuten.co.jp/category/567231/,造花・人工観葉植物,"109,737"
190,https://www.rakuten.co.jp/category/567434/,衣類関連サービス,"2,432"
191,https://www.rakuten.co.jp/category/567435/,寝具関連サービス,524
